track_id,track_name,artist_name,status,source,fail_reason,lyric_len
0TYsPcmqWOtPdaEXmHvNSE,Break My Heart,Ella Mai,ok,genius,,1650
6w93UfN5MeXXQTrVIf5V6x,How (feat. Roddy Ricch),Ella Mai,ok,genius,,2549
2xW3wiXtNHUsENQLrHf4X0,Feels Like,Ella Mai,ok,genius,,1982
0cNc0bSxmRVhAUJVYEd2Qk,Leave You Alone,Ella Mai,ok,genius,,2061
6mhwRdefbNqGiP2ZpMKY64,"Difícil Lembrar, né?",Bela Maria,ok,genius,,4720
0oHUP66PMEiy7itEGM0EpY,Poesia Acústica Ep. Acabou,Pineapple StormTv,ok,genius,,2419
47ssddfj7Ug6hO9Ol2AXGu,Tell Me It's Over (feat. Summer Walker & 6LACK),Jacquees,ok,genius,,3106
0EtTaQIiTIvivchg1JQ638,CAOS PERFEITO,Carol Biazin,ok,genius,,1201
6Ys8z2IeXc3qRXVbKjymTL,Amarrou,Tasha & Tracie,ok,genius,,2193
2D1rmVTeaZrr5Ipow29t4b,Sintomas de Prazer,LUDMILLA,ok,genius,,1126
210u8GSVwq7anEWu0e6wzL,Brigas Demais,LUDMILLA,ok,genius,,2143
5Gp0BMl8A4obJTIpd0qWox,Immature,FLO,ok,genius,,1995
6GQIy9IDBTKDTuFin2GYwW,bonita e miserável,Clarissa,ok,genius,,1095
48KXAIruJ07kJVCWOGohMV,P*$$Y Fairy (OTW),Jhené Aiko,ok,genius,,2118
63wx9vdskaXbYxyDx4oJCZ,B.S. (feat. H.E.R.),Jhené Aiko,ok,genius,,2763
5KZVbtDMFcurkynWsncKtr,Summertime,FLO,ok,genius,,2090
7EkiMl81fUHVwpItgtzI4r,I'll Kill You (feat. Jhené Aiko),Summer Walker,ok,genius,,1619
2QdVcmVPIxW826rRJDf58l,Face To Face,Ruel,ok,genius,,1091
3goYw6YHoCjA1sfBzpdgzH,CAROLINA,KAROL G,ok,genius,,1363
0SbOpoBzBBCqWIcvo94JeD,Naked - Bonus Track,Ella Mai,ok,genius,,28758
1CXLy7cfmAuxoIYcVM3wtK,Tell Em,Sabrina Carpenter,ok,genius,,3092
27B9H3cOefm9lWDfh9A0gj,Take Off All Your Cool,Sabrina Carpenter,ok,genius,,2158
0QUbiLQySWPq5Lh3f7A9bN,Hate the Club (feat. Masego),Kehlani,ok,genius,,2606
6f7BE3VcZScJx6n3wsf5Z3,I Like U,NIKI,ok,genius,,3131
2UqMwz0vqVDdkLHZrzSLOp,Seamless (with Kehlani),Babyface,ok,genius,,2834
4hS7b55aChkN6FePTc6CeD,Voicemail (feat. Kiana Ledé),Khalid,ok,genius,,2331
3unpulZnIiKRZ4MCymHfXx,Smoke (feat. Lucky Daye),Victoria Monét,ok,genius,,1996
3pdUv2fviypOdl1PTHDunH,This Is,Ella Mai,ok,genius,,1996
6CTWathupIiDs7U4InHnDA,Trip,Ella Mai,ok,genius,,2683
69pKk61wd9HIuOqYf9y9ev,BACARDI,Carol Biazin,ok,genius,,1624
21DN44aYlSoyfOQcboC0IP,Throw It Away,Summer Walker,ok,genius,,1639
3RZ84nOV92gBOQc1iIdIez,ligações de alma,Carol Biazin,ok,genius,,1804
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,ok,genius,,2122
74NI58MQexwZjNu1Gu6GjT,Far,SZA,ok,genius,,1867
2N0SPREDYqILVEFSsWF5N5,Love Me Again,V,ok,genius,,970
54bg1e6ABcZfpU3yzwxnPf,Rainy Days,V,ok,genius,,1200
4HAOgAnILvXCbSODMoRnmD,For Us,V,ok,genius,,742
